Hito [UY627694430],Fecha y Hora,Ubicación,Nota
Nacimiento,2021-12-01 10:51,Potrero de paricion,Registro del nacimiento.
Primer calostro,2021-12-01 18:01,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2021-12-04 17:53,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2021-12-06 12:55,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2021-12-06 18:06,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2021-12-10 18:46,Oficina / app,Registro del nacimiento.
Revision general de salud,2021-12-16 12:46,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2022-01-10 10:54,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-01-30 18:49,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2022-02-26 15:46,Manga / campo,Marcacion y vacunas.
Desparasitacion,2022-03-01 10:54,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-03-01 15:00,Potrero 6 (7654321-12007),Vacunacion clostridial
Destete,2022-07-05 18:33,Potrero de destete,Separacion de la madre.
Lactancia,2022-07-29 14:29,Campo,Permanencia con la madre.
Desparasitacion,2022-08-28 08:28,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2022-12-04 09:08,Potrero 6 (7654321-12007),Primer celo detectado.
Recria,2022-12-09 08:24,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Segundo Celo,2022-12-22 06:17,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2023-01-14 10:05,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2023-01-14 18:43,Potrero 6 (7654321-12007),Tercer celo detectado.
Desparasitacion,2023-02-24 13:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-03-01 07:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2023-03-15 09:49,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Seleccion de vientres,2023-03-25 17:59,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2023-08-23 13:00,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2023-10-24 14:18,Potrero de paricion,Supervision del parto.
Lactancia,2023-10-26 11:36,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2023-12-21 12:02,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2023-12-21 15:17,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2024-02-19 11:17,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2024-02-19 13:02,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-02-29 15:42,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-08-17 11:30,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-09-29 16:16,Potrero de paricion,Supervision del parto.
Lactancia,2024-10-01 18:41,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2025-02-13 16:54,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-02-28 11:53,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-08-12 14:13,Potrero 6 (7654321-12007),Antiparasitario programado.
