Hitos UY7654321-000006,Fecha,Ubicación,Nota
Nacimiento (Día 0),2024-06-23,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2024-06-23,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2024-06-24,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2024-06-26,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2024-06-30,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2024-07-07,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2024-07-14,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2024-07-23,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2024-08-02,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2024-12-20,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Fin del período de lactancia del ternero (manejo típico del sistema).
Pubertad / madurez sexual,2025-07-28,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Edad aproximada; se habilita selección para recría o servicio.
Servicio (1),2025-09-22,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo e inseminación/servicio. Se asume preñez en este servicio.
